,east,north,m1Tmax,m2Tmax,m3Tmax,m4Tmax,m5Tmax,m6Tmax,m7Tmax,m8Tmax,m9Tmax,m10Tmax,m11Tmax,m12Tmax,ANN,DJF,MAM,JJA,SON,Test01,Latit,Longit
0,25000,61000,10.1,10.0,11.2,12.4,14.4,15.8,17.1,17.6,17.0,14.7,12.2,10.8,13.5,10.3,12.7,16.8,14.6,0.0,51.774495,-10.536231
1,25000,96000,8.6,8.6,10.0,11.4,13.4,14.8,16.0,16.5,15.8,13.3,10.8,9.4,12.4,8.9,11.6,15.8,13.3,1.52588e-05,52.088735,-10.554017
2,26000,96000,9.3,9.3,10.7,12.0,14.1,15.5,16.7,17.2,16.5,14.0,11.5,10.0,13.0,9.5,12.3,16.5,14.0,3.05176e-05,52.08905,-10.539443
3,27000,97000,8.5,8.4,9.8,11.2,13.3,14.7,15.9,16.4,15.7,13.1,10.7,9.2,12.2,8.7,11.4,15.7,13.2,4.57764e-05,52.098341,-10.525375
4,27000,100000,9.9,9.9,11.2,12.7,14.8,16.1,17.3,17.8,17.0,14.5,12.1,10.5,13.7,10.1,12.9,17.1,14.5,6.10352e-05,52.125275,-10.526898
5,31000,101000,9.7,9.7,11.0,12.6,14.7,16.2,17.4,17.8,16.9,14.3,11.8,10.3,13.5,9.9,12.8,17.1,14.3,7.62939e-05,52.13549,-10.469045
6,32000,97000,8.9,8.9,10.2,11.7,13.9,15.3,16.6,17.0,16.1,13.6,11.0,9.5,12.7,9.1,11.9,16.3,13.6,9.15527e-05,52.09988,-10.452481
7,32000,98000,9.2,9.2,10.5,11.9,14.1,15.6,16.8,17.3,16.3,13.8,11.3,9.8,13.0,9.4,12.2,16.6,13.8,0.000106812,52.108859,-10.452974
8,32000,99000,8.5,8.5,9.8,11.3,13.4,14.9,16.1,16.6,15.6,13.1,10.6,9.1,12.3,8.7,11.5,15.9,13.1,0.00012207,52.117838,-10.453467
9,32000,100000,9.5,9.5,10.8,12.4,14.6,16.0,17.2,17.7,16.7,14.1,11.6,10.1,13.3,9.7,12.6,17.0,14.1,0.000137329,52.126816,-10.453961
10,32000,101000,9.6,9.7,11.0,12.5,14.7,16.1,17.4,17.8,16.8,14.2,11.7,10.3,13.6,9.9,12.7,17.1,14.2,0.000152588,52.135795,-10.454454
11,32000,102000,9.0,9.1,10.4,11.9,14.1,15.5,16.8,17.3,16.2,13.7,11.2,9.7,13.0,9.3,12.1,16.5,13.7,0.000167847,52.144774,-10.454948
12,32000,103000,9.7,9.7,11.0,12.5,14.8,16.2,17.5,17.9,16.8,14.3,11.8,10.3,13.6,9.9,12.8,17.2,14.3,0.000183105,52.153752,-10.455442
13,32000,104000,9.8,9.8,11.1,12.7,14.9,16.4,17.6,18.0,16.9,14.4,11.9,10.4,13.7,10.0,12.9,17.3,14.4,0.000198364,52.162731,-10.455936
14,32000,106000,9.4,9.5,10.7,12.4,14.5,16.0,17.2,17.7,16.7,14.0,11.5,10.1,13.4,9.7,12.5,17.0,14.1,0.000213623,52.180688,-10.456926
15,33000,73000,9.0,9.1,10.3,11.6,13.8,15.3,16.6,16.9,16.1,13.7,11.2,9.8,12.8,9.3,11.9,16.3,13.7,0.000228882,51.884688,-10.426222
16,33000,97000,9.5,9.5,10.8,12.2,14.4,15.9,17.1,17.6,16.6,14.2,11.6,10.0,13.3,9.7,12.5,16.9,14.1,0.000244141,52.100183,-10.437902
17,33000,98000,7.5,7.5,8.8,10.4,12.5,14.0,15.2,15.7,14.7,12.2,9.7,8.1,11.3,7.7,10.6,15.0,12.2,0.000259399,52.109162,-10.438392
18,33000,99000,6.9,6.9,8.2,9.7,11.9,13.3,14.7,15.0,14.0,11.5,9.0,7.4,10.8,7.1,9.9,14.3,11.5,0.000274658,52.11814,-10.438882
19,33000,100000,8.3,8.3,9.6,11.2,13.4,14.9,16.1,16.6,15.5,12.9,10.4,8.9,12.3,8.5,11.4,15.9,12.9,0.000289917,52.127119,-10.439372
20,33000,101000,8.9,8.8,10.1,11.7,13.9,15.4,16.6,17.1,16.0,13.4,10.9,9.4,12.7,9.0,11.9,16.4,13.4,0.000305176,52.136098,-10.439863
21,33000,102000,8.8,8.8,10.0,11.6,13.8,15.3,16.5,17.0,16.0,13.3,10.8,9.3,12.7,9.0,11.8,16.3,13.4,0.000320435,52.145076,-10.440354
22,33000,103000,8.9,8.9,10.1,11.7,14.0,15.4,16.6,17.1,16.0,13.4,10.9,9.4,12.7,9.1,11.9,16.4,13.4,0.000335693,52.154055,-10.440845
23,33000,104000,9.8,9.8,11.0,12.7,14.9,16.3,17.5,18.0,16.9,14.3,11.8,10.4,13.6,10.0,12.9,17.3,14.3,0.000350952,52.163034,-10.441336
24,33000,105000,9.9,9.9,11.2,12.8,15.1,16.5,17.8,18.1,17.1,14.4,11.9,10.5,13.8,10.1,13.0,17.5,14.5,0.000366211,52.172012,-10.441828
25,33000,106000,9.8,9.8,11.0,12.7,14.9,16.3,17.6,18.0,16.9,14.3,11.8,10.3,13.6,10.0,12.9,17.3,14.3,0.00038147,52.180991,-10.44232
26,33000,107000,9.4,9.4,10.8,12.4,14.6,16.0,17.2,17.6,16.6,13.9,11.4,10.0,13.3,9.6,12.6,16.9,14.0,0.000396729,52.18997,-10.442812
27,34000,68000,9.9,9.8,11.0,12.5,14.6,16.2,17.4,17.8,17.0,14.5,12.0,10.5,13.5,10.1,12.7,17.1,14.5,0.000411987,51.84009,-10.409311
28,34000,74000,9.1,9.0,10.2,11.6,13.7,15.3,16.6,17.0,16.2,13.7,11.1,9.7,12.7,9.3,11.8,16.3,13.7,0.000427246,51.893966,-10.412193
29,34000,75000,9.6,9.6,10.8,12.3,14.4,15.9,17.2,17.6,16.8,14.3,11.7,10.3,13.3,9.8,12.5,16.9,14.3,0.000442505,51.902945,-10.412674
30,34000,97000,9.5,9.5,10.8,12.4,14.5,16.0,17.2,17.7,16.7,14.2,11.7,10.1,13.3,9.7,12.6,17.0,14.2,0.000457764,52.100484,-10.423322
31,34000,98000,8.0,8.0,9.3,10.8,13.1,14.5,15.8,16.1,15.2,12.7,10.2,8.5,11.9,8.2,11.1,15.5,12.7,0.000473022,52.109462,-10.423809
32,34000,99000,7.4,7.4,8.7,10.2,12.4,14.0,15.2,15.6,14.6,12.1,9.5,7.9,11.3,7.6,10.4,14.9,12.1,0.000488281,52.118441,-10.424296
